,measurement_uid,status,outcome
45,20230523125640.624646_ID_webconnectivity_8e3f37cfd08e0b28,blocked.dns.nxdomain,blocked
46,20230523141011.641608_ID_webconnectivity_0425e326829c4d49,blocked.tls,blocked
47,20230523141453.314377_ID_webconnectivity_395482ee526774fd,blocked.tls,blocked
48,20230523160502.187051_US_signal_9bb946c8e43efb4e,ok,ok
49,20230524193531.075789_TR_webconnectivity_0bb2f4d46bf9e8a2,blocked.blockpage.http,blocked
50,20230524202524.599589_US_signal_9f87235eec85a02c,ok,ok
51,20230525045532.860564_TR_webconnectivity_c08116ee020e358d,blocked.tcp,blocked
52,20230525064624.327799_DE_ndt_4a6a40065f4a41fa,ok,ok
53,20230526075940.260389_ID_webconnectivity_b6348823f2d5c115,blocked.tls,blocked
54,20230526133200.080176_ID_webconnectivity_789da2213b964de7,blocked.tls,blocked
55,20230526182043.044460_ID_webconnectivity_a02da69af3a6b54e,blocked.blockpage.dns,blocked
56,20230526190142.071390_US_webconnectivity_cb973ffe2f9faf53,ok,ok
57,20230526191241.157224_US_tor_3129e82c77812514,blocked,blocked
58,20230526210610.756064_ID_webconnectivity_29e1939781a13852,blocked.tls,blocked
59,20230530070814.322154_ID_webconnectivity_c1de30c06b952252,blocked.tls,blocked
60,20230531161439.829994_ID_webconnectivity_655eb1c901cba92e,down.unreachable,down
61,20230531175522.391540_ID_webconnectivity_4ea8b251343f5a52,blocked.tls,blocked
62,20230604160144.820099_ID_webconnectivity_50ce1eb5ed64c1ec,blocked.tls,blocked
63,20230614021608.068904_ID_webconnectivity_cace45d2cfc68bf0,blocked.blockpage.http,blocked
64,20230614033656.087821_ID_webconnectivity_af1cd52adc78f664,blocked.tls,blocked
65,20230619052509.462791_ID_webconnectivity_b8eb0fb675457674,blocked.tls,blocked
66,20230620093549.934754_ID_webconnectivity_6f13a9da1d4048a5,blocked.tls,blocked
67,20230622090617.860920_ID_webconnectivity_38e5db97e4d0a864,blocked.tls,blocked
68,20230623011140.916654_ID_webconnectivity_776ee3f5fc9eb0fa,blocked.tls,blocked
69,20230626200058.398913_AT_webconnectivity_b8daa4ab52581cf2,blocked.blockpage.http,blocked
70,20230627035520.524562_MX_webconnectivity_00c7c0e54133a4b7,down.unreachable,down
71,20230628021856.225341_MX_webconnectivity_01945948bd1209ca,down.unreachable,down
72,20230628022120.128694_MX_webconnectivity_547a4714d47eeac9,down.unreachable,down
73,20230628074233.541880_MX_webconnectivity_6430a05d221e17e8,down.unreachable,down
74,20230630010954.236755_MX_webconnectivity_5e3559a7170a052b,ok,ok
75,20230702155544.263794_MX_webconnectivity_74d9f4464a86b7e6,down.unreachable,down
76,20230704234113.923166_ID_webconnectivity_d415a24dadb99785,ok,ok
77,20230705011158.978946_ID_webconnectivity_0cdcee716a5d6520,blocked.tls,blocked
78,20230705035225.647737_ID_webconnectivity_89a08285c47d3949,blocked.tls,blocked
79,20230705035228.116127_ID_webconnectivity_dae13a46acf3e42b,blocked.blockpage.dns,blocked
80,20230705035410.155885_ID_webconnectivity_1d82cd32cb799db4,blocked.blockpage.dns,blocked
81,20230705050711.459884_ID_webconnectivity_1a53a317fcc56770,blocked.tls,blocked
82,20230705051212.687259_ID_webconnectivity_b89ae22326be0b91,blocked.blockpage.http,blocked
